,Title,Price,Rating,Category,Availability
0,A Light in the ...,51.77,3,Poetry,In stock
1,Tipping the Velvet,53.74,1,Historical Fiction,In stock
2,Soumission,50.1,1,Fiction,In stock
3,Sharp Objects,47.82,4,Mystery,In stock
4,Sapiens: A Brief History ...,54.23,5,History,In stock
5,The Requiem Red,22.65,1,Young Adult,In stock
6,The Dirty Little Secrets ...,33.34,4,Business,In stock
7,The Coming Woman: A ...,17.93,3,Default,In stock
8,The Boys in the ...,22.6,4,Default,In stock
9,The Black Maria,52.15,1,Poetry,In stock
10,Starving Hearts (Triangular Trade ...,13.99,2,Default,In stock
11,Shakespeare's Sonnets,20.66,4,Poetry,In stock
12,Set Me Free,17.46,5,Young Adult,In stock
13,Scott Pilgrim's Precious Little ...,52.29,5,Sequential Art,In stock
14,Rip it Up and ...,35.02,5,Music,In stock
15,Our Band Could Be ...,57.25,3,Music,In stock
16,Olio,23.88,1,Poetry,In stock
17,Mesaerion: The Best Science ...,37.59,1,Science Fiction,In stock
18,Libertarianism for Beginners,51.33,2,Politics,In stock
19,It's Only the Himalayas,45.17,2,Travel,In stock
20,In Her Wake,12.84,1,Thriller,In stock
21,How Music Works,37.32,2,Music,In stock
22,Foolproof Preserving: A Guide ...,30.52,3,Food and Drink,In stock
23,Chase Me (Paris Nights ...,25.27,5,Romance,In stock
24,Black Dust,34.53,5,Romance,In stock
25,Birdsong: A Story in ...,54.64,3,Childrens,In stock
26,America's Cradle of Quarterbacks: ...,22.5,3,Default,In stock
27,Aladdin and His Wonderful ...,53.13,3,Default,In stock
28,Worlds Elsewhere: Journeys Around ...,40.3,5,Nonfiction,In stock
29,Wall and Piece,44.18,4,Art,In stock
30,The Four Agreements: A ...,17.66,5,Spirituality,In stock
31,The Five Love Languages: ...,31.05,3,Nonfiction,In stock
32,The Elephant Tree,23.82,5,Thriller,In stock
33,The Bear and the ...,36.89,1,Childrens,In stock
34,Sophie's World,15.94,5,Philosophy,In stock
35,Penny Maybe,33.29,3,Default,In stock
36,Maude (1883-1993):She Grew Up ...,18.02,2,Default,In stock
37,"In a Dark, Dark ...",19.63,1,Mystery,In stock
38,Behind Closed Doors,52.22,4,Thriller,In stock
39,You can't bury them ...,33.63,2,Poetry,In stock
40,Slow States of Collapse: ...,57.31,3,Poetry,In stock
41,Reasons to Stay Alive,26.41,2,Nonfiction,In stock
42,Private Paris (Private #10),47.61,5,Fiction,In stock
43,#HigherSelfie: Wake Up Your ...,23.11,5,Nonfiction,In stock
44,Without Borders (Wanderlove #1),45.07,2,New Adult,In stock
45,When We Collided,31.77,1,Contemporary,In stock
46,"We Love You, Charlie ...",50.27,5,Fiction,In stock
47,Untitled Collection: Sabbath Poems ...,14.27,4,Poetry,In stock
48,Unseen City: The Majesty ...,44.18,4,Nonfiction,In stock
49,Unicorn Tracks,18.78,3,Fantasy,In stock
50,Unbound: How Eight Technologies ...,25.52,1,History,In stock
51,Tsubasa: WoRLD CHRoNiCLE 2 ...,16.28,1,Sequential Art,In stock
52,Throwing Rocks at the ...,31.12,3,Nonfiction,In stock
53,This One Summer,19.49,4,Sequential Art,In stock
54,Thirst,17.27,5,Fiction,In stock
55,The Torch Is Passed: ...,19.09,1,Add a comment,In stock
56,The Secret of Dreadwillow ...,56.13,1,Childrens,In stock
57,The Pioneer Woman Cooks: ...,56.41,1,Food and Drink,In stock
58,The Past Never Ends,56.5,4,Mystery,In stock
59,The Natural History of ...,45.22,3,Young Adult,In stock
60,The Nameless City (The ...,38.16,4,Sequential Art,In stock
61,The Murder That Never ...,54.11,3,Fiction,In stock
62,The Most Perfect Thing: ...,42.96,4,Science,In stock
63,The Mindfulness and Acceptance ...,23.89,4,Add a comment,In stock
64,The Life-Changing Magic of ...,16.77,3,Nonfiction,In stock
65,The Inefficiency Assassin: Time ...,20.59,5,Default,In stock
66,The Gutsy Girl: Escapades ...,37.13,1,Nonfiction,In stock
67,The Electric Pencil: Drawings ...,56.06,1,Nonfiction,In stock
68,The Death of Humanity: ...,58.11,4,Philosophy,In stock
69,The Bulletproof Diet: Lose ...,49.05,3,Health,In stock
70,The Art Forger,40.76,3,Add a comment,In stock
71,The Age of Genius: ...,19.73,1,History,In stock
72,The Activist's Tao Te ...,32.24,5,Spirituality,In stock
73,Spark Joy: An Illustrated ...,41.83,4,Nonfiction,In stock
74,Soul Reader,39.58,2,Default,In stock
75,Security,39.25,2,Horror,In stock
76,"Saga, Volume 6 (Saga ...",25.02,3,Fantasy,In stock
77,"Saga, Volume 5 (Saga ...",51.04,2,Sequential Art,In stock
78,Reskilling America: Learning to ...,19.83,2,Nonfiction,In stock
79,"Rat Queens, Vol. 3: ...",50.4,3,Sequential Art,In stock
80,"Princess Jellyfish 2-in-1 Omnibus, ...",13.61,5,Sequential Art,In stock
81,Princess Between Worlds (Wide-Awake ...,13.34,5,Fantasy,In stock
82,"Pop Gun War, Volume ...",18.97,1,Sequential Art,In stock
83,"Political Suicide: Missteps, Peccadilloes, ...",36.28,2,History,In stock
84,Patience,10.16,3,Sequential Art,In stock
85,"Outcast, Vol. 1: A ...",15.44,4,Sequential Art,In stock
